loc_name,loc_group,measurement_date,Ref_elev,GW_elev,Well_Depth,depth_unit,DepthToWater,task_code,x_coord,y_coord
W-010,Wells Upper Surficial,10/21/2024,136.81,121.78,22.21,ft,15.03,2024-Q4-WL,2023659.9,744897.85
W-100,Wells Upper Surficial,10/21/2024,133.47,122.92,15.1,ft,10.55,2024-Q4-WL,2023636.36,745126.22
W-102,Wells Lower Surficial,10/21/2024,136.86,126.33,33.45,ft,10.53,2024-Q4-WL,2024124.44,745090.12
W-103,Wells Lower Surficial,10/21/2024,134.87,117.01,41.78,ft,17.86,2024-Q4-WL,2024483.13,744466.69
W-104,Wells Upper Surficial,10/21/2024,118.48,112.46,20.37,ft,6.02,2024-Q4-WL,2024875.51,744154.72
W-105,Wells Upper Surficial,10/21/2024,117.57,109.51,26.93,ft,8.06,2024-Q4-WL,2024138,743843.47
W-106,Wells Lower Surficial,10/21/2024,118.69,108.6,32.68,ft,10.09,2024-Q4-WL,2023371.32,744431.55
W-107,Wells Lower Surficial,10/21/2024,115.23,108.88,37.22,ft,6.35,2024-Q4-WL,2023252.18,744034.11
W-108,Wells Lower Surficial,10/21/2024,115.41,108.73,35.87,ft,6.68,2024-Q4-WL,2023295.23,743611.35
W-109,Wells Lower Surficial,10/21/2024,115.68,108.83,34.97,ft,6.85,2024-Q4-WL,2022981.06,743731.82
W-011,Wells Upper Surficial,10/21/2024,140.76,122.48,27.23,ft,18.28,2024-Q4-WL,2023914.56,744743.05
W-110,Wells Lower Surficial,10/21/2024,116.42,109.07,36.98,ft,7.35,2024-Q4-WL,2022508.26,744051.95
W-111,Wells Lower Surficial,10/21/2024,116.92,112.04,84.54,ft,4.88,2024-Q4-WL,2022564.93,744378.27
W-112,Wells Lower Surficial,10/21/2024,116.07,109.18,36.99,ft,6.89,2024-Q4-WL,2022027.51,744101.62
W-113,Wells Lower Surficial,10/21/2024,138.55,128.7,39.02,ft,9.85,2024-Q4-WL,2024004.27,746811.2
W-114,Wells Upper Surficial,10/21/2024,138.75,129.41,23.52,ft,9.34,2024-Q4-WL,2024001.48,746806.04
W-115,Wells Lower Surficial,10/21/2024,141.71,123.43,47.92,ft,18.28,2024-Q4-WL,2023435.8,746784.3
W-116,Wells Upper Surficial,10/21/2024,141.91,123.98,23.15,ft,17.93,2024-Q4-WL,2023433.25,746778.95
W-117,Wells Lower Surficial,10/21/2024,143.76,121.46,46.77,ft,22.3,2024-Q4-WL,2023237.7,746432.66
W-118,Wells Upper Surficial,10/21/2024,143.74,123.31,32.43,ft,20.43,2024-Q4-WL,2023241.08,746437.24
W-119,Wells Upper Surficial,10/21/2024,142.24,126.69,33.01,ft,15.55,2024-Q4-WL,2023805.69,746515.76
W-120,Wells Lower Surficial,10/21/2024,142.34,128.28,36.85,ft,14.06,2024-Q4-WL,2024014.35,745967.14
W-121,Wells Upper Surficial,10/21/2024,142.24,128.11,25.21,ft,14.13,2024-Q4-WL,2024008.09,745966.73
W-122,Wells Lower Surficial,10/21/2024,136.84,128.46,33.11,ft,8.38,2024-Q4-WL,2024559.81,746087.76
W-123,Wells Lower Surficial,10/21/2024,136.05,122.24,34.58,ft,13.81,2024-Q4-WL,2024283.69,744647.8
W-124,Wells Lower Surficial,10/21/2024,117.73,108.84,33.55,ft,8.89,2024-Q4-WL,2024882.9,744153.42
W-125,Wells Lower Surficial,10/21/2024,117.84,108.57,47.25,ft,9.27,2024-Q4-WL,2024142.28,743837.31
W-126,Wells Lower Surficial,10/21/2024,115.89,108.64,46.5,ft,7.25,2024-Q4-WL,2024650.41,743747.34
W-013R,Wells Upper Surficial,10/21/2024,136.13,123.8,20.21,ft,12.33,2024-Q4-WL,2024279.25,744648.71
W-014,Wells Upper Surficial,10/21/2024,137.83,121.21,30.48,ft,16.62,2024-Q4-WL,2024478.65,744603.2
W-015,Wells Upper Surficial,10/21/2024,127.9,116.27,21.8,ft,11.63,2024-Q4-WL,2023716.79,744663.42
W-016,Wells Upper Surficial,10/21/2024,125.96,121.82,13.5,ft,4.14,2024-Q4-WL,2024060.26,744602.32
W-017,Wells Lower Surficial,10/21/2024,139.27,125.17,29.63,ft,14.1,2024-Q4-WL,2023785.38,745055.22
W-018R,Wells Lower Surficial,10/21/2024,136.71,124.49,27.23,ft,12.22,2024-Q4-WL,2023939.25,745012.69
W-019B,Wells Lower Surficial,10/21/2024,142.85,117.88,42.92,ft,24.97,2024-Q4-WL,2022552.95,746172.68
W-020,Wells Upper Surficial,10/21/2024,116.16,108.97,16.33,ft,7.19,2024-Q4-WL,2022975.38,743739.63
W-022,Wells Upper Surficial,10/21/2024,136.51,125.39,14.34,ft,11.12,2024-Q4-WL,2024116.4,744960.92
W-022,Wells Upper Surficial,10/21/2024,136.51,125.39,14.34,ft,11.12,2024-Q4-WL,2024116.4,744960.92
W-023R,Wells Upper Surficial,10/21/2024,140.47,121.32,23.9,ft,19.15,2024-Q4-WL,2024851.26,744674.74
W-024,Wells Upper Surficial,10/21/2024,141.94,132.91,17.09,ft,9.03,2024-Q4-WL,2027344.76,746742.56
W-025,Wells Upper Surficial,10/21/2024,115.88,108.05,28.77,ft,7.83,2024-Q4-WL,2022728.99,742114.33
W-026,Wells Upper Surficial,10/21/2024,142.21,117.26,32.22,ft,24.95,2024-Q4-WL,2023417.69,744855.29
W-027,Wells Upper Surficial,10/21/2024,121.87,111.96,16.33,ft,9.91,2024-Q4-WL,2023708.23,744383.9
W-028,Wells Upper Surficial,10/21/2024,138.88,126.73,17.2,ft,12.15,2024-Q4-WL,2024317.41,745121.78
W-029,Wells Upper Surficial,10/21/2024,138.61,126.71,15.5,ft,11.9,2024-Q4-WL,2024101.64,745182.77
W-030,Wells Upper Surficial,10/21/2024,138.81,126.65,16.78,ft,12.16,2024-Q4-WL,2024150.84,745095.16
W-032,Wells Upper Surficial,10/21/2024,140.34,121.48,23.85,ft,18.86,2024-Q4-WL,2023919.81,744742.1
W-033,Wells Lower Surficial,10/21/2024,139.33,123.93,21.32,ft,15.4,2024-Q4-WL,2023548.66,745402.99
W-035,Wells Upper Surficial,10/21/2024,139.07,128.05,22.86,ft,11.02,2024-Q4-WL,2024227.93,745716.7
W-036,Wells Upper Surficial,10/21/2024,136.29,128.56,21.93,ft,7.73,2024-Q4-WL,2024573.17,746084.83
W-037,Wells Upper Surficial,10/21/2024,139.04,127.64,22.92,ft,11.4,2024-Q4-WL,2024230.73,745407.39
W-038,Wells Upper Surficial,10/21/2024,136.51,126.35,19.97,ft,10.16,2024-Q4-WL,2024192.97,745250.31
W-039,Wells Upper Surficial,10/21/2024,141.15,125.56,25.25,ft,15.59,2024-Q4-WL,2023656.67,745587.41
W-040,Wells Upper Surficial,10/21/2024,139.26,128.04,17.23,ft,11.22,2024-Q4-WL,2024112.48,745646.53
W-041R,Wells Upper Surficial,10/21/2024,133.81,118.32,27.09,ft,15.49,2024-Q4-WL,2023252.59,745372.89
W-042,Wells Upper Surficial,10/21/2024,140.96,116.2,32.95,ft,24.76,2024-Q4-WL,2023203.32,745072.35
