LOC_NAME,SAMPLE_DATE,SAMPLEDATE,TASK_CODE,CHEMICAL_NAME,ORGANIC_YN,REPORT_RESULT_TEXT,REPORT_RESULT_VALUE,REPORT_RESULT_UNIT,X_COORD,Y_COORD
W-032,4/5/2023,05 Apr 2023,2023-Q2-GW,pH,,6.70,6.7,SU,2023919.81,744742.1
W-011,4/5/2023,05 Apr 2023,2023-Q2-GW,pH,,4.82,4.82,SU,2023914.56,744743.05
W-010,4/5/2023,05 Apr 2023,2023-Q2-GW,pH,,6.09,6.09,SU,2023659.9,744897.85
W-077,4/4/2023,04 Apr 2023,2023-Q2-GW,pH,,11.80,11.8,SU,2024346.11,745158.93
W-059,4/4/2023,04 Apr 2023,2023-Q2-GW,pH,,6.03,6.03,SU,2024165.88,745219.37
W-056,4/4/2023,04 Apr 2023,2023-Q2-GW,pH,,5.92,5.92,SU,2024203.75,745351.31
W-055,4/4/2023,04 Apr 2023,2023-Q2-GW,pH,,5.96,5.96,SU,2024214,745397.65
W-113,4/7/2023,07 Apr 2023,2023-Q2-GW,pH,,5.72,5.72,SU,2024004.27,746811.2
W-079,4/6/2023,06 Apr 2023,2023-Q2-GW,pH,,6.20,6.2,SU,2024450.27,745200.4
W-076,4/6/2023,06 Apr 2023,2023-Q2-GW,pH,,4.99,4.99,SU,2024223.52,745181.19
W-029,4/6/2023,06 Apr 2023,2023-Q2-GW,pH,,6.32,6.32,SU,2024101.64,745182.77
W-013R,4/6/2023,06 Apr 2023,2023-Q2-GW,pH,,6.40,6.4,SU,2024279.25,744648.71
W-123,4/6/2023,06 Apr 2023,2023-Q2-GW,pH,,8.06,8.06,SU,2024283.69,744647.8
W-093,4/6/2023,06 Apr 2023,2023-Q2-GW,pH,,5.47,5.47,SU,2024346.84,745162.26
W-080,4/6/2023,06 Apr 2023,2023-Q2-GW,pH,,5.38,5.38,SU,2024414.69,745024.39
W-078,4/6/2023,06 Apr 2023,2023-Q2-GW,pH,,5.98,5.98,SU,2024371.03,745117.75
W-058,4/6/2023,06 Apr 2023,2023-Q2-GW,pH,,5.90,5.9,SU,2024176.33,745254.09
W-038,4/6/2023,06 Apr 2023,2023-Q2-GW,pH,,4.81,4.81,SU,2024192.97,745250.31
W-028,4/6/2023,06 Apr 2023,2023-Q2-GW,pH,,6.26,6.26,SU,2024317.41,745121.78
W-084,4/5/2023,05 Apr 2023,2023-Q2-GW,pH,,5.38,5.38,SU,2024721.5,745177.25
W-083,4/5/2023,05 Apr 2023,2023-Q2-GW,pH,,5.62,5.62,SU,2024667.49,744975.06
W-082,4/5/2023,05 Apr 2023,2023-Q2-GW,pH,,5.23,5.23,SU,2024594.17,744895.93
W-007A,4/5/2023,05 Apr 2023,2023-Q2-GW,pH,,6.85,6.85,SU,2023872.22,744907.43
W-087,4/12/2023,12 Apr 2023,2023-Q2-GW,pH,,6.43,6.43,SU,2024385.81,745952.76
W-051,4/12/2023,12 Apr 2023,2023-Q2-GW,pH,,6.44,6.44,SU,2024270.83,745583.86
W-045,4/12/2023,12 Apr 2023,2023-Q2-GW,pH,,6.58,6.58,SU,2024296.1,745644.03
W-035,4/12/2023,12 Apr 2023,2023-Q2-GW,pH,,6.46,6.46,SU,2024227.93,745716.7
W-100,4/12/2023,12 Apr 2023,2023-Q2-GW,pH,,5.07,5.07,SU,2023636.36,745126.22
W-006,4/11/2023,11 Apr 2023,2023-Q2-GW,pH,,6.24,6.24,SU,2024109.62,744963.29
W-030,4/11/2023,11 Apr 2023,2023-Q2-GW,pH,,6.22,6.22,SU,2024150.84,745095.16
W-022,4/11/2023,11 Apr 2023,2023-Q2-GW,pH,,5.37,5.37,SU,2024116.4,744960.92
W-102,4/11/2023,11 Apr 2023,2023-Q2-GW,pH,,6.61,6.61,SU,2024124.44,745090.12
W-081,4/11/2023,11 Apr 2023,2023-Q2-GW,pH,,5.72,5.72,SU,2024469.85,744938.6
