FACILITY_ID,FACILITY_CODE,SYS_LOC_CODE,LOC_NAME,SAMPLE_ID,SYS_SAMPLE_CODE,SAMPLE_NAME,SAMPLE_DATE,SAMPLEDATE,SAMPLETIME,SAMPLE_TYPE_CODE,START_DEPTH,END_DEPTH,DEPTH_UNIT,MATRIX_CODE,TASK_CODE,TASK_CODE_2,PARENT_SAMPLE_CODE,FIELD_SDG,ANALYSIS_LOCATION,LAB_SAMPLE_ID,LAB_MATRIX_CODE,LAB_NAME_CODE,ANALYTIC_METHOD,ANALYSIS_DATE,COLUMN_NUMBER,FRACTION,TEST_TYPE,PREP_METHOD,LEACHATE_METHOD,LEACHATE_DATE,LAB_SDG,PERCENT_MOISTURE,DILUTION_FACTOR,TEST_ID,CAS_RN,CHEMICAL_NAME,ORGANIC_YN,REPORT_RESULT_TEXT,REPORT_RESULT_VALUE,REPORT_RESULT_UNIT,REPORT_RESULT_LIMIT,REPORT_METHOD_DETECTION_LIMIT,REPORT_REPORTING_LIMIT,REPORT_QUANTITATION_LIMIT,REPORTABLE_RESULT,DETECT_FLAG,INTERPRETED_QUALIFIERS,VALIDATOR_QUALIFIERS,LAB_QUALIFIERS,QUANTITATION_LIMIT,METHOD_DETECTION_LIMIT,REPORTING_DETECTION_LIMIT,DETECTION_LIMIT_UNIT,APPROVAL_CODE,RESULT_TEXT,RESULT_NUMERIC,RESULT_UNIT,RESULT_TYPE_CODE,X_COORD,Y_COORD,Z_COORD_AVG,ZFROM,ZTO,LONGITUDE,LATITUDE,REJECT_FLAG,DEPTH_INTERVAL,J_STATUS,J_STATUS_FLAG,RAD_U_FLAG,REPORT_RAD_VALUE,REPORT_RAD_TEXT,DETECTED,DETECTED_FLAG
1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75
360,CFFF,W-28,W-028,14799,W-28-2020Q2-GW,W-28-2020-Q2,4/3/2020,03 Apr 2020,15:02,N,,,,WG,2020-Q2-GW,,,VD04001,LB,VD04001-004,WG,SHEALY,E353.2,4/4/2020,NA,T,INITIAL,,,,VD04001,,10,24930,NO3-N,Nitrate as N,,7,7,mg/L,0.2,0.1,0.2,0.2,YES,Y,,,,0.2,0.1,0.2,mg/L,,7,7,mg/L,TRG,2024317.41,745121.78,,,,,,N,,,,,7,7,,x
360,CFFF,W-28,W-028,14799,W-28-2020Q2-GW,W-28-2020-Q2,4/3/2020,03 Apr 2020,15:02,N,,,,WG,2020-Q2-GW,,,VD04001,LB,VD04001-004,WG,SHEALY,SW8260D,4/7/2020,NA,N,INITIAL,,,,VD04001,,1,24931,127-18-4,Tetrachloroethene,Y,< 1,1,ug/L,1,0.4,1,1,YES,N,,,U,1,0.4,1,ug/L,,,,ug/L,TRG,2024317.41,745121.78,,,,,,N,,,,,1,< 1,,
360,CFFF,W-28,W-028,14799,W-28-2020Q2-GW,W-28-2020-Q2,4/3/2020,03 Apr 2020,15:02,N,,,,WG,2020-Q2-GW,,,VD04001,LB,VD04001-004,WG,SHEALY,SW8260D,4/7/2020,NA,N,INITIAL,,,,VD04001,,1,24931,156-59-2,"cis-1,2-Dichloroethene",Y,< 1,1,ug/L,1,0.4,1,1,YES,N,,,U,1,0.4,1,ug/L,,,,ug/L,TRG,2024317.41,745121.78,,,,,,N,,,,,1,< 1,,
360,CFFF,W-28,W-028,14799,W-28-2020Q2-GW,W-28-2020-Q2,4/3/2020,03 Apr 2020,15:02,N,,,,WG,2020-Q2-GW,,,VD04001,LB,VD04001-004,WG,SHEALY,SW8260D,4/7/2020,NA,N,INITIAL,,,,VD04001,,1,24931,75-01-4,Vinyl chloride,Y,< 1,1,ug/L,1,0.4,1,1,YES,N,,,U,1,0.4,1,ug/L,,,,ug/L,TRG,2024317.41,745121.78,,,,,,N,,,,,1,< 1,,
360,CFFF,W-28,W-028,14799,W-28-2020Q2-GW,W-28-2020-Q2,4/3/2020,03 Apr 2020,15:02,N,,,,WG,2020-Q2-GW,,,VD04001,LB,VD04001-004,WG,SHEALY,SW8260D,4/7/2020,NA,N,INITIAL,,,,VD04001,,1,24931,79-01-6,Trichloroethene,Y,< 1,1,ug/L,1,0.4,1,1,YES,N,,,U,1,0.4,1,ug/L,,,,ug/L,TRG,2024317.41,745121.78,,,,,,N,,,,,1,< 1,,
360,CFFF,W-29,W-029,14798,W-29-2020Q2-GW,W-29-2020-Q2,4/3/2020,03 Apr 2020,13:57,N,,,,WG,2020-Q2-GW,,,VD04001,LB,VD04001-005,WG,SHEALY,E353.2,4/4/2020,NA,T,INITIAL,,,,VD04001,,15,24933,NO3-N,Nitrate as N,,17,17,mg/L,0.3,0.15,0.3,0.3,YES,Y,,,,0.3,0.15,0.3,mg/L,,17,17,mg/L,TRG,2024101.64,745182.77,,,,,,N,,,,,17,17,,x
360,CFFF,W-29,W-029,14798,W-29-2020Q2-GW,W-29-2020-Q2,4/3/2020,03 Apr 2020,13:57,N,,,,WG,2020-Q2-GW,,,VD04001,LB,VD04001-005,WG,SHEALY,SW8260D,4/7/2020,NA,N,INITIAL,,,,VD04001,,1,24934,127-18-4,Tetrachloroethene,Y,< 1,1,ug/L,1,0.4,1,1,YES,N,,,U,1,0.4,1,ug/L,,,,ug/L,TRG,2024101.64,745182.77,,,,,,N,,,,,1,< 1,,
360,CFFF,W-29,W-029,14798,W-29-2020Q2-GW,W-29-2020-Q2,4/3/2020,03 Apr 2020,13:57,N,,,,WG,2020-Q2-GW,,,VD04001,LB,VD04001-005,WG,SHEALY,SW8260D,4/7/2020,NA,N,INITIAL,,,,VD04001,,1,24934,156-59-2,"cis-1,2-Dichloroethene",Y,< 1,1,ug/L,1,0.4,1,1,YES,N,,,U,1,0.4,1,ug/L,,,,ug/L,TRG,2024101.64,745182.77,,,,,,N,,,,,1,< 1,,
360,CFFF,W-29,W-029,14798,W-29-2020Q2-GW,W-29-2020-Q2,4/3/2020,03 Apr 2020,13:57,N,,,,WG,2020-Q2-GW,,,VD04001,LB,VD04001-005,WG,SHEALY,SW8260D,4/7/2020,NA,N,INITIAL,,,,VD04001,,1,24934,75-01-4,Vinyl chloride,Y,< 1,1,ug/L,1,0.4,1,1,YES,N,,,U,1,0.4,1,ug/L,,,,ug/L,TRG,2024101.64,745182.77,,,,,,N,,,,,1,< 1,,
