Layer,SYS_LOC_CODE,SAMPLE_DATE,CAS_RN,CHEMICAL_NAME,RESULT,REPORT_RESULT_UNIT,DETECT_FLAG,LAB_QUALIFIERS,X_COORD,Y_COORD
FluorideQ12022,W-32,2022-04-04 10:38,16984-48-8,Fluoride,4.2,mg/L,Y,,2023919.81,744742.1
FluorideQ12022,W-13R,2022-04-04 12:26,16984-48-8,Fluoride,9.2,mg/L,Y,,2024279.25,744648.71
FluorideQ12022,W-7A,2022-04-04 14:02,16984-48-8,Fluoride,5.6,mg/L,Y,,2023872.22,744907.43
FluorideQ12022,W-10,2022-04-04 15:07,16984-48-8,Fluoride,3.5,mg/L,Y,,2023659.9,744897.85
FluorideQ12022,W-22,2022-04-04 15:22,16984-48-8,Fluoride,6,mg/L,Y,,2024116.4,744960.92
FluorideQ12022,W-79,2022-04-05 9:22,16984-48-8,Fluoride,1.4,mg/L,Y,,2024450.27,745200.4
FluorideQ12022,W-77,2022-04-05 9:53,16984-48-8,Fluoride,15,mg/L,Y,,2024346.11,745158.93
FluorideQ12022,W-80,2022-04-05 10:31,16984-48-8,Fluoride,0.38,mg/L,Y,,2024414.69,745024.39
FluorideQ12022,W-78,2022-04-05 11:07,16984-48-8,Fluoride,13,mg/L,Y,,2024371.03,745117.75
FluorideQ12022,W-76,2022-04-05 11:48,16984-48-8,Fluoride,3.7,mg/L,Y,,2024223.52,745181.19
FluorideQ12022,W-28,2022-04-05 12:11,16984-48-8,Fluoride,6.3,mg/L,Y,,2024317.41,745121.78
FluorideQ12022,W-84,2022-04-06 8:34,16984-48-8,Fluoride,0.1,mg/L,N,U,2024721.5,745177.25
FluorideQ12022,W-83,2022-04-06 9:42,16984-48-8,Fluoride,0.1,mg/L,N,U,2024667.49,744975.06
FluorideQ12022,W-82,2022-04-06 11:11,16984-48-8,Fluoride,0.1,mg/L,N,U,2024594.17,744895.93
FluorideQ12022,W-29,2022-04-06 12:46,16984-48-8,Fluoride,3.5,mg/L,Y,,2024101.64,745182.77
FluorideQ12022,W-81,2022-04-06 12:47,16984-48-8,Fluoride,0.1,mg/L,N,U,2024469.85,744938.6
FluorideQ12022,W-59,2022-04-06 14:08,16984-48-8,Fluoride,1.8,mg/L,Y,,2024165.88,745219.37
FluorideQ12022,W-38,2022-04-07 9:17,16984-48-8,Fluoride,0.35,mg/L,Y,,2024192.97,745250.31
FluorideQ12022,W-17,2022-04-07 9:52,16984-48-8,Fluoride,3,mg/L,Y,,2023785.38,745055.22
FluorideQ12022,W-18R,2022-04-07 10:55,16984-48-8,Fluoride,5.4,mg/L,Y,,2023939.25,745012.69
FluorideQ12022,W-57,2022-04-07 12:35,16984-48-8,Fluoride,0.1,mg/L,N,U,2024190.79,745307.43
FluorideQ12022,W-102,2022-04-07 13:20,16984-48-8,Fluoride,3.5,mg/L,Y,,2024124.44,745090.12
FluorideQ12022,W-73,2022-04-07 13:33,16984-48-8,Fluoride,0.1,mg/L,N,U,2024166.25,745339.31
FluorideQ12022,W-30,2022-04-07 14:20,16984-48-8,Fluoride,10,mg/L,Y,,2024150.84,745095.16
FluorideQ12022,W-56,2022-04-07 14:55,16984-48-8,Fluoride,0.33,mg/L,Y,,2024203.75,745351.31
FluorideQ12022,W-55,2022-04-08 9:10,16984-48-8,Fluoride,0.1,mg/L,N,U,2024214,745397.65
FluorideQ12022,W-75,2022-04-08 9:47,16984-48-8,Fluoride,0.14,mg/L,Y,,2024064.76,745317.23
FluorideQ12022,W-54,2022-04-08 11:32,16984-48-8,Fluoride,0.31,mg/L,Y,,2024229.98,745442.55
FluorideQ12022,W-72,2022-04-08 11:37,16984-48-8,Fluoride,0.55,mg/L,Y,,2024162.69,745450.25
FluorideQ12022,W-53,2022-04-08 12:44,16984-48-8,Fluoride,0.1,mg/L,N,U,2024247.56,745496
FluorideQ12022,W-87,2022-04-11 9:29,16984-48-8,Fluoride,0.14,mg/L,Y,,2024385.81,745952.76
FluorideQ12022,W-40,2022-04-11 10:16,16984-48-8,Fluoride,0.2,mg/L,Y,,2024112.48,745646.53
FluorideQ12022,W-36,2022-04-11 11:57,16984-48-8,Fluoride,0.1,mg/L,N,U,2024573.17,746084.83
FluorideQ12022,W-35,2022-04-11 13:18,16984-48-8,Fluoride,0.1,mg/L,N,U,2024227.93,745716.7
FluorideQ12022,W-52,2022-04-11 14:08,16984-48-8,Fluoride,0.79,mg/L,Y,,2024260.17,745542.36
FluorideQ12022,W-51,2022-04-11 14:25,16984-48-8,Fluoride,0.21,mg/L,Y,,2024270.83,745583.86
FluorideQ12022,W-RW1,2022-04-12 9:02,16984-48-8,Fluoride,0.1,mg/L,N,U,2024255.52,745689.84
FluorideQ12022,W-115,2022-04-12 9:26,16984-48-8,Fluoride,0.1,mg/L,N,U,2023435.8,746784.3
FluorideQ12022,W-45,2022-04-12 10:37,16984-48-8,Fluoride,0.51,mg/L,Y,,2024296.1,745644.03
FluorideQ12022,W-118,2022-04-12 11:58,16984-48-8,Fluoride,0.1,mg/L,N,U,2023241.08,746437.24
FluorideQ12022,W-114,2022-04-12 12:53,16984-48-8,Fluoride,0.1,mg/L,N,U,2024001.48,746806.04
FluorideQ12022,W-119,2022-04-12 12:56,16984-48-8,Fluoride,0.1,mg/L,N,U,2023805.69,746515.76
FluorideQ12022,W-121,2022-04-13 8:27,16984-48-8,Fluoride,0.1,mg/L,N,U,2024008.09,745966.73
FluorideQ12022,W-60,2022-04-13 11:17,16984-48-8,Fluoride,0.1,mg/L,N,U,2023286.81,745835.58
FluorideQ12022,W-23R,2022-04-13 13:46,16984-48-8,Fluoride,0.1,mg/L,N,U,2024851.26,744674.74
FluorideQ12022,W-33,2022-04-13 14:00,16984-48-8,Fluoride,0.13,mg/L,Y,,2023548.66,745402.99
FluorideQ12022,W-67,2022-04-14 8:32,16984-48-8,Fluoride,0.1,mg/L,N,U,2024485.79,744459.59
FluorideQ12022,W-65,2022-04-14 8:55,16984-48-8,Fluoride,0.15,mg/L,Y,,2024027.45,745693.7
FluorideQ12022,W-15,2022-04-14 10:23,16984-48-8,Fluoride,2.3,mg/L,Y,,2023716.79,744663.42
FluorideQ12022,W-39,2022-04-14 10:38,16984-48-8,Fluoride,0.1,mg/L,N,U,2023656.67,745587.41
FluorideQ12022,W-106,2022-04-14 11:21,16984-48-8,Fluoride,0.22,mg/L,Y,,2023371.32,744431.55
FluorideQ12022,W-43,2022-04-14 11:39,16984-48-8,Fluoride,0.1,mg/L,N,U,2023600.12,745904.31
FluorideQ12022,W-14,2022-04-14 12:28,16984-48-8,Fluoride,0.1,mg/L,N,U,2024478.65,744603.2
FluorideQ12022,W-RW2,2022-04-14 12:45,16984-48-8,Fluoride,0.19,mg/L,Y,,2023458.22,745325.15
FluorideQ12022,W-41R,2022-04-15 9:38,16984-48-8,Fluoride,0.1,mg/L,N,U,2023252.59,745372.89
FluorideQ12022,W-99,2022-04-15 9:46,16984-48-8,Fluoride,2.7,mg/L,Y,,2023640.54,745123.51
FluorideQ12022,W-63,2022-04-15 11:06,16984-48-8,Fluoride,0.1,mg/L,Y,,2023019.42,745098.13
FluorideQ12022,W-89,2022-04-15 11:57,16984-48-8,Fluoride,0.1,mg/L,N,U,2022888.25,746583.34
FluorideQ12022,W-46,2022-04-15 12:13,16984-48-8,Fluoride,0.1,mg/L,N,U,2023494.46,745154.59
FluorideQ12022,W-44,2022-04-15 13:04,16984-48-8,Fluoride,0.1,mg/L,N,U,2022950.11,745579.89
FluorideQ12022,W-62,2022-04-18 11:29,16984-48-8,Fluoride,0.28,mg/L,Y,,2022726.08,745485.46
FluorideQ12022,W-42,2022-04-18 13:12,16984-48-8,Fluoride,2.5,mg/L,Y,,2023203.32,745072.35
FluorideQ12022,W-91,2022-04-18 14:17,16984-48-8,Fluoride,0.1,mg/L,N,U,2022016.77,745976.36
FluorideQ12022,W-98,2022-04-18 14:32,16984-48-8,Fluoride,0.1,mg/L,N,U,2022894.54,745190.42
FluorideQ12022,W-68,2022-04-19 8:54,16984-48-8,Fluoride,0.1,mg/L,N,U,2022496.22,745329.25
FluorideQ12022,W-47,2022-04-19 9:45,16984-48-8,Fluoride,5.1,mg/L,Y,,2023515.87,744633.77
FluorideQ12022,W-19B,2022-04-19 10:21,16984-48-8,Fluoride,0.1,mg/L,N,U,2022552.95,746172.68
FluorideQ12022,W-16,2022-04-19 11:15,16984-48-8,Fluoride,9.8,mg/L,Y,,2024060.26,744602.32
FluorideQ12022,W-26,2022-04-19 12:30,16984-48-8,Fluoride,2.4,mg/L,Y,,2023417.69,744855.29
FluorideQ12022,W-48,2022-04-19 13:38,16984-48-8,Fluoride,0.4,mg/L,Y,,2023290.44,744913.22
FluorideQ12022,W-71,2022-04-19 13:43,16984-48-8,Fluoride,0.1,mg/L,N,U,2026052.33,745716.65
FluorideQ12022,W-112,2022-04-20 8:42,16984-48-8,Fluoride,0.1,mg/L,N,U,2022027.51,744101.62
FluorideQ12022,W-111,2022-04-20 10:50,16984-48-8,Fluoride,0.1,mg/L,N,U,2022564.93,744378.27
FluorideQ12022,W-107,2022-04-20 11:45,16984-48-8,Fluoride,0.1,mg/L,N,U,2023252.18,744034.11
FluorideQ12022,W-24,2022-04-20 12:28,16984-48-8,Fluoride,0.1,mg/L,N,U,2027344.76,746742.56
FluorideQ12022,W-94,2022-04-20 12:46,16984-48-8,Fluoride,0.1,mg/L,N,U,2021983.56,744728.03
FluorideQ12022,W-110,2022-04-20 13:50,16984-48-8,Fluoride,0.1,mg/L,N,U,2022508.26,744051.95
FluorideQ12022,W-97,2022-04-20 13:50,16984-48-8,Fluoride,0.31,mg/L,Y,,2024547.76,744244.05
FluorideQ12022,W-105,2022-04-21 9:10,16984-48-8,Fluoride,0.51,mg/L,Y,,2024138,743843.47
FluorideQ12022,W-126,2022-04-21 10:12,16984-48-8,Fluoride,0.15,mg/L,Y,,2024650.41,743747.34
FluorideQ12022,W-124,2022-04-21 11:28,16984-48-8,Fluoride,0.1,mg/L,N,U,2024882.9,744153.42
FluorideQ12022,W-27,2022-04-21 11:36,16984-48-8,Fluoride,3.2,mg/L,Y,,2023708.23,744383.9
FluorideQ12022,W-25,2022-04-21 13:42,16984-48-8,Fluoride,0.1,mg/L,N,U,2022728.99,742114.33
FluorideQ12022,W-4R,2022-04-25 8:55,16984-48-8,Fluoride,0.12,mg/L,Y,,2023932.04,744339.08
FluorideQ12022,W-86,2022-04-25 8:58,16984-48-8,Fluoride,0.52,mg/L,Y,,2025100.8,745082.29
FluorideQ12022,W-20,2022-04-25 11:21,16984-48-8,Fluoride,0.1,mg/L,N,U,2022975.38,743739.63
FluorideQ12022,W-108,2022-04-25 12:20,16984-48-8,Fluoride,0.11,mg/L,Y,,2023295.23,743611.35
FluorideQ32021,W-115,2021-08-03 9:40,16984-48-8,Fluoride,0.068,mg/L,Y,J,2023435.8,746784.3
FluorideQ32021,W-117,2021-08-03 11:34,16984-48-8,Fluoride,0.077,mg/L,Y,J,2023237.7,746432.66
FluorideQ32021,W-124,2021-08-03 15:04,16984-48-8,Fluoride,0.095,mg/L,Y,J,2024882.9,744153.42
FluorideQ32021,W-119,2021-08-04 10:52,16984-48-8,Fluoride,0.023,mg/L,Y,J,2023805.69,746515.76
FluorideQ32021,W-121,2021-08-04 14:01,16984-48-8,Fluoride,0.171,mg/L,Y,,2024008.09,745966.73
FluorideQ32021,W-122,2021-08-05 10:50,16984-48-8,Fluoride,0.086,mg/L,Y,J,2024559.81,746087.76
FluorideQ32021,W-13R,2021-10-05 10:51,16984-48-8,Fluoride,10.8,mg/L,Y,,2024279.25,744648.71
FluorideQ32021,W-32,2021-10-05 11:53,16984-48-8,Fluoride,5.01,mg/L,Y,,2023919.81,744742.1
FluorideQ32021,W-10,2021-10-05 13:19,16984-48-8,Fluoride,4.09,mg/L,Y,,2023659.9,744897.85
FluorideQ32021,W-7A,2021-10-05 13:51,16984-48-8,Fluoride,7.18,mg/L,Y,,2023872.22,744907.43
FluorideQ32021,W-77,2021-10-06 10:45,16984-48-8,Fluoride,14.8,mg/L,Y,,2024346.11,745158.93
FluorideQ32021,W-28,2021-10-06 11:58,16984-48-8,Fluoride,8.11,mg/L,Y,,2024317.41,745121.78
FluorideQ32021,W-78,2021-10-06 13:00,16984-48-8,Fluoride,13.6,mg/L,Y,,2024371.03,745117.75
FluorideQ32021,W-79,2021-10-06 14:12,16984-48-8,Fluoride,0.978,mg/L,Y,,2024450.27,745200.4
FluorideQ32021,W-84,2021-10-07 9:04,16984-48-8,Fluoride,0.092,mg/L,Y,J,2024721.5,745177.25
